pair_id,n_samples,raw_column_count,selected_raw_column_0,selected_raw_column_1,true_source_local,true_target_local,weight,cdfm_direction,cdfm_correct,cdfm_failure,cdfm_runtime_sec,lingam_direction,lingam_correct,lingam_failure,lingam_runtime_sec,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,feature_runtime_sec,router_defer_probability,router_prediction,selected_solver,hybrid_correct,oracle_correct,raw_prediction_path
pair0001,349,2,0,1,0,1,0.166,0->1,1,,0.15260060000582598,1->0,0,,0.004301600012695417,2.435001794947978,13.319751116145651,0.8660966541900017,0.6834407711312352,0.05592943429915109,0.05592943429915109,0.07520449686072184,0.0223824999993667,0.012689339712227176,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0001.npz
pair0002,349,2,0,1,0,1,0.166,0->1,1,,0.14722350001102313,1->0,0,,0.003942400013329461,1.8858412162622145,6.54252738103472,0.7599258779885815,0.6440983845506151,0.004428229581233546,0.004428229581233546,0.07516977369558481,0.02164180000545457,0.006781758609094825,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0002.npz
pair0003,349,2,0,1,0,1,0.167,0->1,1,,0.16650180000578985,0->1,1,,0.003440000000409782,1.4049282614449363,8.13008396393645,0.23785672530806296,0.31051317408681955,0.07641412588962779,0.07641412588962779,0.13899369912048587,0.023186000005807728,0.00029782394261677306,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0003.npz
pair0004,349,2,0,1,0,1,0.166,0->1,1,,0.15555099997436628,0->1,1,,0.0039022999990265816,1.3067786202955007,5.725824410370543,0.14801144683328432,0.07424256924711892,0.004821047338102449,0.004821047338102449,0.007845884442731947,0.022514999989653006,9.719423844617237e-05,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0004.npz
pair0005,4177,2,0,1,0,1,0.143,0->1,1,,3.5277804999786895,1->0,0,,0.004976299998816103,0.8769875836687389,1.1976542003742627,0.5567195769296177,0.6043853354046326,0.17547317413191588,0.17547317413191588,0.34406334125121607,0.027459200005978346,0.0015248145508754047,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0005.npz
pair0006,4177,2,0,1,0,1,0.143,0->1,1,,3.6664259000099264,1->0,0,,0.004516999993938953,0.8675143617474422,1.4313067765278793,0.6275740445103217,0.6924745607793563,0.09616033693737844,0.09616033693737844,0.14596784669037127,0.025526300014462322,0.27204974216644773,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0006.npz
pair0007,4177,2,0,1,0,1,0.143,0->1,1,,3.541074300010223,1->0,0,,0.0054743999789934605,0.8616500203423841,1.1880815041482902,0.5746598513059187,0.6228950050921535,0.1720280112038608,0.1720280112038608,0.339614397275502,0.026435499981744215,0.0029007354595502253,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0007.npz
pair0008,4177,2,0,1,0,1,0.143,0->1,1,,3.48978370000259,1->0,0,,0.0054539999982807785,2.121459638710819,39.178098328027424,0.5574673244580373,0.6577163709860909,0.15410752638424613,0.15410752638424613,0.19391120320313568,0.0319333000225015,0.999999990233989,1,DirectLiNGAM,0,1,results/tuebingen/raw_predictions/pair0008.npz
pair0009,4177,2,0,1,0,1,0.143,0->1,1,,3.51555469998857,1->0,0,,0.005644100019708276,0.8225302308039928,1.1771654655617831,0.5403896769239008,0.6308319554663986,0.12805600173781664,0.12805600173781664,0.18081735740778168,0.029322999995201826,0.04187149513785301,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0009.npz
pair0010,4177,2,0,1,0,1,0.143,0->1,1,,3.530387199978577,1->0,0,,0.005157300009159371,0.9165999100584731,1.4629055526115027,0.42088365794521454,0.5394199820834579,0.15437957142617256,0.15437957142617256,0.19728124455764612,0.02737580001121387,0.001123655216658748,0,CDFM,1,1,results/tuebingen/raw_predictions/pair0010.npz
